mid,title,introduction,rating,releasedate,url
151,我经过风暴,看似事业有成、儿女双全的徐敏（佟丽娅 饰）却有着难以启齿的秘密：她被丈夫陈均（吴昱翰 饰）长期家暴。徐敏不是所有人想象中受害者的模样，她坚毅勇敢且有自己的事业，在与律师李小萌（王影璐 饰）艰难抗争试图离婚的过程中，面对小心谨慎不留证据的丈夫、周遭人冷言冷语嘲讽质疑、社会系统的不作为、为了两个孩子……当离婚不是家暴的终点，当家不是避风港而是暴雨本身，她究竟能否冲破这场风暴？,6.5,2023-08-17(中国大陆),https://movie.douban.com/subject/35451890/
152,怒潮,横跨黑白两道只手遮天的洪泰集团正值换选之际，一个神秘杀手陈安（张家辉 饰）却突然只身闯入这个是非混乱的旋涡，搅得洪泰集团大乱。身处警察阵营的麦朗汶（阮经天 饰）和黑帮阵营的马文康（王大陆 饰）也盯上了他……各方势力伺机而动，谁才是幕后的操控者？一场生猛混战一触即发。,6.3,2023-12-16(中国大陆),https://movie.douban.com/subject/35572588/
153,富都青年,没有公民身份证的阿邦和阿迪，在混杂外劳聚居的富都老社区里苟且偷生。他们无法享有一般国民福利，无法申请护照，连银行户头也开不了。哥哥阿邦天生哑巴，任劳任怨也认命，只求一份安定生活，弟弟阿迪则不甘向命运低头，从而违法贩卖假证件，他一心只想赚到钱就带着哥哥离开这个厌恶的地方。原本就过着不平等生活的两人，因为社工佳恩的热心，并自愿协助追查原生父母和出生证明的数据，但她的好意却导致一场意外发生，同时也让阿邦跟阿迪再次陷入水深火热的命途。,7.2,2023-12-01(中国台湾),https://movie.douban.com/subject/35211921/
154,蓝色巨人 BLUE GIANT,住在仙台的高中生・宫本大（山田裕贵 配音）深受爵士乐吸引，每天都独自在河边吹奏次中音萨克斯风。毕业后他来到东京，住进了高中同学・玉田俊二（冈山天音 配音）的公寓。某日，大在展演空间遇见同龄钢琴家・泽边雪祈（间宫祥太朗 配音），并邀请他共组乐团，受大影响而开始打鼓的玉田也加入组成3 人乐团“JASS”。连乐谱都看不懂，只是一心吹奏萨克斯风的大、从小就将一切献给爵士乐的雪祈、以及初学者玉田，以在日本最好的爵士乐具乐部表演并改变日本爵士乐风格为目标，尽全力投入在音乐活动之中。,8.2,2023-02-17(日本),https://movie.douban.com/subject/35634583/
155,惊天营救2 Extraction 2,在 Netflix 动作大片《惊天营救》的续集《惊天营救 2》中，克里斯·海姆斯沃斯将继续饰演泰勒·雷克。在第一部电影的惊险情节中侥幸逃生后，雷克又卷土重来。作为澳大利亚的黑市雇佣兵，雷克接下了又一项致命任务：从监狱中解救一个被格鲁吉亚黑帮残忍虐待的家庭。海姆斯沃斯与导演山姆·哈格雷夫再度合作，乔·罗素和安东尼·罗素的 AGBO 负责制作，乔·罗素担任编剧。格什菲·法拉哈尼将继续出演其在第一部电影中的角色，亚当·贝萨、欧嘉·柯瑞兰寇、丹尼尔·伯哈特和蒂娜婷·达拉齐施维利也将出演该片。本片是第一部电影的续集，改编自安德·帕克斯的图画小说《Ciudad》，故事由安德·帕克斯、乔·罗素和安东尼·罗素共同创作，插图由费尔南多·莱昂·冈萨雷斯绘制。《惊天营救 2》由安东尼·罗素、乔·罗素、迈克·拉罗卡、安杰拉·拉索-奥茨特、克里斯·海姆斯沃斯、帕特里克·纽...,7.4,2023-06-16(美国网络),https://movie.douban.com/subject/35056376/
156,垫底俱乐部 Bottoms,PJ和乔西创办了一家搏击俱乐部，希望能借此把自己的第一次献给啦啦队员。她们离奇的计划竟然奏效了。搏击俱乐部越来越受欢迎，很快学校里最受欢迎的姑娘们就以自卫的名义来这儿互相殴打。而PJ和乔西却陷入了困境，必须在计划被曝光之前找到出路。,6.7,2023-03-11(西南偏南电影节),https://movie.douban.com/subject/36037265/
157,瞒天过海,贪婪无厌的警长郑威（许光汉 饰）得知富商之妻乔文娜（张钧甯 饰）蒙冤卷入一场密室谋杀案后主动登门交易，索要巨额钱财帮她洗脱罪名。随着交易展开，竟意外牵连出另一起凶杀案，丈夫失踪的虹姐（惠英红 饰）自曝被强权欺压，走投无路的她向杀害丈夫的议员之子明浩（尹正 饰）绝望复仇……案中有案，局中有局，钱权交易与势力压迫之下被掩盖的真相到底是什么？,6.1,2023-12-08(中国大陆),https://movie.douban.com/subject/35192611/
158,学爸,雷大力（黄渤 饰）为了让儿子雷小米（单禹豪 饰）能够拥有更高的人生起点，在单亲妈妈刘真真（闫妮 饰）的带领下，被迫卷入了“幼升小”的激烈角逐。又在火哥（张子贤 饰）和火嫂（万茜 饰）的影响下，不惜倾尽所有购入学区房，重重压力让父子二人的生活变得不堪一击。雷小米小姨（张钧甯 饰）的出现，又让雷大力领悟了“拼娃”的本质是“拼父母”……面对残酷的现实，父子的生活困境应该如何破局？几组家庭又将做出怎样的人生抉择？,6.0,2023-08-18(中国大陆),https://movie.douban.com/subject/35392725/
159,盟约 The Covenant,中士约翰·金利（杰克·吉伦哈尔 饰）最后一次在战场上执行任务，在他和当地翻译艾哈迈德一起调查该地区时，他们的部队在巡逻中突然遭受到伏击，幸运的是，两人还活着，不幸的是，只有他们两人成为了幸存者。在伏击中金利受了重伤危在旦夕，这无疑增加了他们的逃跑风险，在敌人穷追猛打的追击下，艾哈迈德冒着生命危险带着受伤的金利穿越数英里岖崎地形，终于到达安全地带。回到国内后，金利得知艾哈迈德和其家人并没有像承诺的那样获准离开战区，他决心报恩并保护艾哈迈德及其家人，他重回战区在当地民兵到达之前救出艾哈迈德一家。,7.4,2023-04-21(美国),https://movie.douban.com/subject/35722688/
160,美丽的他电影版 劇場版 美しい彼〜eternal〜,沉默寡言、在班上没有朋友的平良（萩原利久 饰），对班上拥有无敌美貌、人气爆棚的“国王”清居（八木勇征 饰）一见钟情。几经波折，两人终于拨云见日成为恋人，并展开幸福的同居生活。随着大学即将毕业，平良开始担任知名摄影师的助理，清居也成为新锐演员开始受到瞩目，然而不想成为清居演艺之路绊脚石的平良，却开始逐渐跟他保持距离。将清居视为“神”一般尊贵存在的平良，和只想跟平良成为“普通恋人”的清居，因为无法填补不同想法所产生的隔阂，彼此的鸿沟也逐渐加深。,7.7,2023-04-07(日本),https://movie.douban.com/subject/35907236/
161,普瑞希拉 Priscilla,改编自普里西拉·普里斯莱和桑德拉·哈蒙于1985年出版的回忆录《猫王与我》。讲述了普瑞希拉的生平，以及她与丈夫猫王的感情关系。,5.6,2023-09-04(威尼斯电影节),https://movie.douban.com/subject/36091107/
162,我的幸福婚约 わたしの幸せな結婚,这是个由婚约展开的一段恋爱故事。斋森美世出生于异能家族，却没有继承任何能力，被继母与同父异母的妹妹当作佣人般对待。然而早该谈婚论嫁的她，婚约的对象竟是传说中冷酷无情、拥有同样异能的久堂家家主——久堂清霞。这门婚事是通往黄泉的邀约？还是奇迹般的相遇呢？,6.6,2023-03-17(日本),https://movie.douban.com/subject/35882114/
163,犯罪都市3 범죄도시3,无可替代的怪物刑警马锡道华丽回归！在越南一举缉拿逃犯后，过了7年，马锡道（马东锡 饰）晋升至首尔广域搜查队，组建新的警察队伍调查一起离奇谋杀案，以期尽快抓捕到罪犯。案件调查中，马锡道发现隐匿于案件之下的新型毒品犯罪，遂决定扩大调查范围。而毒品案件幕后主使者朱成哲（李浚赫 饰）肆无忌惮地扩张这一系列的非法交易。同时专营药品流通的日本组织头目Ricky（青木崇高 饰）也来到韩国，卷入交易案件中，使犯罪规模日渐扩大。为将犯罪分子缉捕归案，马锡道将携队友展开一场惊心动魄的打击犯罪行动。,6.5,2023-05-31(韩国),https://movie.douban.com/subject/35807273/
164,超级马力欧兄弟大电影 The Super Mario Bros. Movie,马力欧（克里斯·帕拉特 Chris Pratt 配音）和路易吉（查理·戴 Charlie Day 饰）是生活在布鲁克林的两名水管工，他们刚刚成立了自己的小公司，但很显然，他们的家人并不完全支持兄弟两人的这份事业。某日，在工作中，马力欧和路易吉被水管吸入到了一个光怪陆离的世界之中，两人在旅途中被迫分开，马力欧来到了由碧姬公主（安雅·泰勒-乔伊 Anya Taylor-Joy 配音）统治的蘑菇王国，而路易吉则不幸的被传送到了由酷霸王（杰克·布莱克 Jack Black 配音）统治的库巴王国。此时，酷霸王正准备大举进攻蘑菇国，掳走公主并和她结婚，在这个节骨眼上，马力欧的出现带给了碧姬公主希望，她带着马力欧来到了丛林王国，请求那里的国王和王子（塞斯·罗根 Seth Aaron Rogen 饰）的支援。,7.8,2023-04-05(美国/中国大陆),https://movie.douban.com/subject/27199894/
165,眠 잠,当丈夫患上梦游症，夜晚完全变了一个人，一对年轻夫妇的生活就发生了翻天覆地的变化。妻子十分担心丈夫会伤害他们的新生儿，再也无法入睡……,5.9,2023-05-21(戛纳电影节),https://movie.douban.com/subject/35621135/
166,第八感 여덟 번째 감각,智炫是首尔一所大学的新生。他来自一个小镇，习惯于住在安静的乡村。搬到繁忙的韩国首都让他感到迷失方向和困惑。与此同时，年长的宰元在完成义务兵役后，返回首尔——以及同一所大学。两人开始对彼此产生好奇心。当他们加入了同一个冲浪俱乐部时，他们的关系开始升温。,7.6,2023-03-29(韩国),https://movie.douban.com/subject/35983210/
167,"上帝在吗？我是玛格丽特 Are You There God? It's Me, Margaret.",该片根据朱迪·布鲁姆撰写的同名小说改编，该书于1970年首次出版，讲述六年级小学生玛格丽特·西蒙(弗特森饰)对青春期有关的一切充满疑问，她在满世界寻找答案。她的母亲(麦克亚当斯饰)和外婆(贝茨饰)试图在这个一切都在发生变化的时期引导她。母亲和外婆也发现，人不会停止怀疑自己走的路是否正确，也不会停止思考生命中什么才是有意义的。萨弗迪饰演玛格丽特的父亲。,7.5,2023-04-23(洛杉矶国际电影节),https://movie.douban.com/subject/35367386/
168,温柔壳,在觉晓（王子文 饰）人生最艰难的低潮点，戴春（尹昉 饰）的出现像一抹阳光冲破了黑暗。封闭的环境里，两人从相识到相爱，用爱情编织幸福的可能，也将对方从沉重的迷雾中拯救出来。随着美好生活的继续，现实的考验也向他们的爱情暗袭而来，他们还能成为彼此眼中最好的那个人吗？,6.9,2023-05-26(中国大陆),https://movie.douban.com/subject/34853941/
169,速度与激情10 Fast X,在完成了无数任务，克服了各种不可能的困难之后，唐老大（范·迪塞尔 Vin Diesel 饰）和他的家族以智慧、勇气和速度过五关斩六将，打败了一路上的所有敌人。如今，他们面对的是一名危险至极的对手：这个从过往阴影中浮出水面的具有致命威胁的人物，誓要报偿血海深仇，决心破坏这个家族，彻底摧毁唐老大所热爱的一切及其至亲至爱之人。,6.1,2023-05-17(中国大陆),https://movie.douban.com/subject/26631790/
170,忠犬八公,这是一只小狗感动全球数亿人的故事。八筒（大黄 饰）是一只可爱的中华田园犬，在茫茫人海中遇到了命中注定的主人陈敬修（冯小刚 饰），成为了陈家的一员。随着时间的推移，曾经美好的家已经不在，但八筒仍在原地等待，它的命运同它的家人紧紧地牵绊在一起。本片改编自新藤兼人原著剧本《ハチ公物語》。,7.6,2023-03-31(中国大陆),https://movie.douban.com/subject/26999802/
171,闭上眼睛 Cerrar los ojos,著名西班牙演员胡里奥·阿雷纳斯在拍摄电影时失踪了。虽然他的尸体从未被发现，但警方认为他在海边溺水身亡。多年后，胡里奥的失踪之谜因一档电视节目被重新带入聚光灯下，该节目概述了他的生活和死亡，并展示了他最后拍摄场景的独家图片。这些图片是由他的挚友，也是该片导演米格尔·加雷拍摄的。,7.5,2023-05-22(戛纳电影节),https://movie.douban.com/subject/35981370/
172,潜伏5：红门 Insidious: The Red Door,《潜伏》、《海王》男星帕特里克·威尔森要升级做导演了！在主演了多部《潜伏》系列影片后，帕特里克·威尔森确定执导该系列第五部。这将是他的导演处女作，而他还会继续出演Josh Lambert一角。这次故事发生在上一部的10年后，小男孩Dalton Lambert（泰·辛普金斯 饰）已经长大，要上大学了。目前，《潜伏》系列4部影片在全球收获5.42亿美元票房。温子仁此次依旧会担任制片人。,5.2,2023-07-06(中国香港),https://movie.douban.com/subject/34902394/
173,黑帮老妈 Mafia Mamma,讲述一个美国郊区女子去意大利参加关系疏远的祖母的葬礼，却因此意外继承并掌管了祖母的黑帮帝国，并受帮派中深受信赖的顾问的指导。,6.8,2023-04-14(美国),https://movie.douban.com/subject/35414282/
174,鬼玩人崛起 Evil Dead Rise,一对感情疏离的姐妹终于重聚，姐姐艾莉（阿丽莎·萨瑟兰 Alyssa Sutherland 饰）意外被恶魔附体，妹妹贝丝（莉莉·沙利文 Lily Sullivan 饰）和她的外甥女们为生存展开反击。,6.5,2023-03-15(西南偏南电影节),https://movie.douban.com/subject/35410042/
175,蓝甲虫 Blue Beetle,首部拉丁裔做主角的独立超级英雄电影要来了？华纳和DC正在开发一部超英新片《蓝甲虫》(Blue Beetle)。电影主角将是第三代蓝甲虫、墨西哥裔美国人海梅·雷耶斯。他生活在德州，捡到了一只蓝色圣甲虫，将其移植到自己的脊椎里，成为拥有外形盔甲、可以随意创造武器的超级英雄。蓝甲虫可以飞行，拥有增强的力量和耐力，能够翻译外星语言。《少年正义联盟》的观众应该很熟悉他了~影片尚在早期开发，由Gareth Dunnet-Alcocer(《选美小姐》、新版《疤面煞星》)写剧本。,4.6,2023-08-18(美国),https://movie.douban.com/subject/30391109/
176,常乐镇诡事,本片讲述了胡国华遭人陷害被设计赌局，败光家产，顽劣的他竟自挖祖坟，一蹶不振，为骗钱财竟然上演了迎娶纸新娘这样的荒唐事。在人生毫无希望之际巧遇摸金门孙国辅，得其点拨开始醒悟，虽最终造化弄人，永失所爱，但自身痛定思痛，从一个顽劣公子蜕变成了摸金游侠。,5.9,2024-01-06(中国大陆),https://movie.douban.com/subject/36081059/
177,小镇幽浮 Jules,一位不寻常且意想不到的天外访客将宾夕法尼亚州西部乡村一座小城市的几个人聚集在了一起。,7.6,2023-03-22(索诺马国际电影节),https://movie.douban.com/subject/36161478/
178,我们的一天 우리의 하루,女演員回國後住在朋友家，逗逗胖胖的貓咪，與想入行的表妹見面，還好像感到園裏的花跟她說話。男詩人獨居，女生來拍他的紀錄片，年輕男演員登門拜訪，詩人為了健康理由戒煙戒酒，但言談甚歡下又重拾杯中物。兩個平行小故事，都發生在一天內，看來無關又似有呼應，主角吃麵都愛加辣椒醬，也剛巧都有個不常彈的結他。洪常秀拍完《水中鏡花》（47屆），再次包攬編導攝影剪接美術和音樂，彷彿無招勝有招，讓金珉禧與奇周峯在各自的細碎生活對話裏，看來雲淡風輕，卻散逸魅力。,7.1,2023-05-25(戛纳电影节),https://movie.douban.com/subject/36367120/
179,冰淇淋般的爱恋 アイスクリームフィーバー,静谧的街上有一家奇特的“涩谷百万 ICE CREAM”冰淇淋店，对来访的陌生少女产生情愫的冰淇淋店员、拿过芥川奖后自此销声匿迹的小说家、表面乐天却又藏著秘密的女职员，在那如发烧般的炙热夏天，女孩们在那难解的世界一隅找到了属于自己的幸福。,6.0,2023-07-14(日本),https://movie.douban.com/subject/36191547/
180,非官方行动 비공식작전,1986年，黎巴嫩正经历一场内战，结果一名韩国外交官遭到绑架，从此下落不明。韩国方面调查无果，最终宣布该外交官已经去世。两年后，新人外交官敏俊（河正宇 饰）偶然接到一通神秘电话，通过专属的摩斯求救密码发现，来电人正是那名失踪已久的外交官。绑匪开出高额赎金，要求韩国方面带着现金当面交易。虽然遭到重重阻碍，但是曾经当过兵的敏俊凭借一腔热血，决定前往异国他乡营救同僚。由于事关敏感，一旦失败将带来不好的影响，难以收场，因此敏俊的营救只能是一场非官方行动。未久，敏俊通过多年在中东任职的经验，联络了当地中间人，谁知刚刚降落机场，便被黎巴嫩的军警盯上了，甚至连当地黑帮也参与进来。营救行动由此变得困难重重……,6.8,2023-08-02(韩国),https://movie.douban.com/subject/30391894/
181,金色茧房 Bên Trong Vỏ Kén Vàng,天安的嫂子韩在一场西贡的摩托车事故中丧生，而她五岁的儿子陶奇迹般地幸存下来。虽然天安不愿意，却也只能带着韩的尸体和年幼的陶返回乡下老家，去寻找多年前消失无踪的哥哥。途中，光怪陆离的梦境与邂逅纷至沓来，压抑多年的回忆与禁忌的欲望重新浮现水面。在这些幻影的泥沼中，天安也同时在经历着一场存在主义的困兽之斗，思考生命的价值究竟为何。,6.9,2023-05-24(戛纳电影节),https://movie.douban.com/subject/36367140/
182,绝对杀手 Totally Killer,"After her mother is murdered on Halloween, a rebellious teenager travels back in time to 1987 where she must stop the young would-be-killer and get back to her rightful time line before she's trapped in the past forever.",6.5,2023-10-06(美国网络),https://movie.douban.com/subject/35904240/
183,变形金刚：超能勇士崛起 Transformers: Rise of the Beasts,1994年，美国纽约。退役军人诺亚·迪亚兹（安东尼·拉莫斯 Anthony Ramos 饰）为了给弟弟治病而四处求职，却不断碰壁，情急之下他铤而走险，打算偷车销赃赚钱。谁曾想第一单就偷了变成汽车形态的博派战士幻影（皮特·戴维森 Pete Davidson 配音），随即卷入宇宙层级的大战争中。原来宇宙中游弋着被称为灭世邪神的恐怖之王宇宙大帝（科尔曼·多明戈 Colman Domingo 配音），它靠不断吞噬其他能源富足的星球补充能量，为此急需要能够折叠空间的“超曲速钥匙”来满足贪欲。此前数千年，被宇宙大帝灭亡家园的擎天圣（朗·普尔曼 Ron Perlman 配音）带着钥匙逃到地球，而他们的踪迹终于被宇宙大帝及其爪牙天灾（彼特·丁拉基 Peter Dinklage 配音）发现。于是，地球人、汽车人、巨无霸联合起来，与来犯的强敌展开对抗……,5.8,2023-06-09(美国/中国大陆),https://movie.douban.com/subject/26634250/
184,这么多年,你想象过和前任久别重逢的场景吗？你会抱紧，还是逃离？从小生活在重男轻女环境中的女孩陈见夏（孙千 饰），在振华中学遇见了叛逆却善良的浑小子李燃（张新成 饰），他成为陈见夏生活里的唯一光亮。他们彼此救赎，却又遗憾分开。多年后，重逢的那刻才明白，以为是反复地爱上你，原来是，我一直没有停止过爱你。,6.3,2023-04-28(中国大陆),https://movie.douban.com/subject/35591164/
185,简如西尔万 Simple comme Sylvain,索菲亚 (Sophia) 是一位 40 岁的哲学教授，她与泽维尔 (Xavier) 的关系稳定，尽管有些符合社会规范。从画廊开幕到没完没了的晚宴，十年已经过去了。西尔万是一位工匠，正在翻修索菲亚和泽维尔的新乡间别墅。当索菲亚和西尔万相遇时，索菲亚的世界发生了天翻地覆的变化。异性相吸，但它们能长久吗？,7.1,2023-05-18(戛纳电影节),https://movie.douban.com/subject/36218661/
186,爱很美味,普通女孩刘净（李纯 饰）开了一间理想中的餐厅，但不容乐观的经营现状令她心生动摇；漂亮女孩方欣（张含韵 饰）渴望在职场中证明自己并非“花瓶”，意外的怀孕却一下打乱她的节奏；强势女孩夏梦（王菊 饰）习惯了赢，还没有学会如何接受输……也许生活总有些许麻烦，但姐妹是我们坚定自己、勇敢向前的底气，哪怕永远不是“完美”的那一个，我们也是最完美的姐妹。影片延续剧版故事，由原班人马打造。,7.2,2023-04-15(中国大陆),https://movie.douban.com/subject/35711450/
187,哆啦A梦：大雄与天空的理想乡 映画ドラえもん のび太と空の理想郷,平凡的一天，出木杉君带来了《乌托邦》这本小说，为同学们讲述理想国的故事。那个没有考试和学校的国度，深深吸引着吊车尾的大雄（大原惠美 配音）。偶然机缘，大雄在后山看到了一个新月形状的悬浮物停在空中，随后很快消失。这个发现让他无比兴奋，于是认定这就是传说中的乌托邦。他拜托哆啦A梦（水田山葵 配音）寻找历史上的相关报道，随后又买来时空穿梭飞艇，和胖虎（木村昴 配音）、小夫（关智一 配音）、静香（嘉数由美 配音）前往新闻中各个时代的目击点寻找新月形悬浮物。但是大多数发现都是自然现象或者人工产物，似乎天空的乌托邦真的就只是一个传说。知道某天，那个悬浮物再度出现，引领少年们开启一段全新的冒险……,7.1,2023-06-01(中国大陆),https://movie.douban.com/subject/35967711/
188,伯爵 El Conde,《伯爵》是一部黑色喜剧/恐怖片，以智利近代历史为灵感，构想了一个平行宇宙。影片将世界法西斯主义的象征奥古斯图·皮诺切特描绘成一个吸血鬼，住在非洲大陆寒冷南端的一座废墟宅邸里，依靠对邪恶的欲望来维持生存。活了二百五十年后，皮诺切特决定不再吸血，放弃永生的特权。他再也无法忍受世人称他为小偷。尽管他的家庭令人失望且热衷于使用投机手段，但他通过一段意想不到的关系找到了新的灵感，继续过着充满活力和反革命激情的生活。,6.8,2023-08-31(威尼斯电影节),https://movie.douban.com/subject/35944060/
189,小鸡快跑2：鸡块新时代 Chicken Run: Dawn of the Nugget,勇敢的金杰（坦迪·牛顿 Thandiwe Newton 配音）和丈夫洛奇（扎克瑞·莱维 Zachary Levi 配音）同心协力，带领同伴们逃出了死亡农场，并且在一个中央小岛建立起属于小鸡们的世外桃源。在这里小鸡们快乐无忧，自由自在，而金杰夫妇也迎来了他们聪慧调皮的女儿莫莉（贝拉·拉姆齐 Bella Ramsey 配音）。不知不觉间，莫莉长大了。她对父母的冒险故事倍感兴趣，然而他们却三缄其口，不透露半点信息。当然，她对外面的世界兴致更高，尤其印在卡车上的那个小鸡乐园广告，更令她心驰神往。与此同时，金杰感受到来自人类社会的侵扰，她试图把小岛彻底隔绝隐藏起来，可就在这个关头，不谙世事的莫莉跑出了小岛，朝着她幻想的乐园前行……,7.0,2023-10-14(伦敦电影节),https://movie.douban.com/subject/30206557/
190,高墙天堂 Le Paradis,比利时一家少管所，16岁男孩乔正为重返社会做准备，他不确定铁丝网的另一端会是怎样。但当另一个男孩威廉搬进隔壁房间后，对自由的渴望变得不再迫切。他们一起纹身、打闹、嘻哈，就像形影不离的兄弟。两个被外部世界放弃的年轻人找到了彼此，并且孕育出毫不妥协的爱情观：高墙之后，激情永远比自由更重要……,6.8,2023-02-19(柏林电影节),https://movie.douban.com/subject/35419393/
191,忍者神龟：变种大乱斗 Teenage Mutant Ninja Turtles: Mutant Mayhem,四个情同手足的乌龟少年一直生活在隐秘的下水道中，在师父（成龙 配音）的训练下，他们成为了功夫高超的“忍者神龟”，渴望被人类接纳的四小只，在人类朋友艾普的帮助下，开始追踪一个神秘的犯罪集团，但随着一支强大变种生物军队的降临，同样属于变种生物的忍者神龟们知道，这下大麻烦来了……,6.8,2023-08-11(中国大陆),https://movie.douban.com/subject/26369765/
192,回廊亭,影片根据东野圭吾畅销悬疑小说《长长的回廊》改编。回廊亭大宅中暗藏无数秘密，绝望女人为爱复仇的欲望纷争正在上演！富商病逝，他的亲属们聚集在回廊亭等待数十亿遗产将会如何分配，众人各怀鬼胎。关键时刻，律师周扬带着遗嘱和一本神秘日记而来，更牵扯出⼀场发生在一年前的火灾凶杀案，死者是富商流落在外的私生子，更是全部遗产的第⼀顺位继承人！凶手，似乎就隐藏在众人之中……,4.9,2023-03-10(中国大陆),https://movie.douban.com/subject/35401290/
193,悲密 비밀,一场残酷的连环谋杀案，所有证据都指向10年前死亡的凶手。半夜洗手间里发生了一起谋杀案，重案组刑警东根在尸体上发现了写有十年前日期的日记碎片——“这也会过去的”“东根”得知作为该事件唯一证据的纸条，是与被害人一起在军队服役的“英勋”日记的一部分，而他已在10年前自杀。“东根”认为嫌疑人是制药公司高管、当时军队霸凌的幕后黑手“成贤”，但由于他也死于了同一起连环杀人案，因此案件逐渐陷入迷宫。同时在深入调查案件的过程中，“东根”发现“英勋”是他学生时代的朋友，案件随着被遗忘的记忆，进入了全新的局面…,6.7,2023-12-13(韩国),https://movie.douban.com/subject/35755284/
194,The Wild：野兽们的战争 더 와일드: 야수들의 전쟁,一名曾经炙热的拳击选手（朴成雄饰），在比赛过程中导致对方死亡，在监狱服刑后想要诚实生活；而他的一位朋友（吴代焕饰）却在不择手段地想要获得成功。两个男人清算了过去，在过上新生活中，为选择不同道路而萌生了残酷阴谋，也导致了背叛。,5.5,2023-04-28(远东电影节),https://movie.douban.com/subject/35634628/
195,蜥蜴伯伯里奥 Leo,这部成长题材动画音乐喜剧讲述了小学最后一年的生活，演员兼喜剧演员亚当·桑德勒（《精灵旅社》、《定制伴郎》）通过一只班级宠物的视角，为观众带来了经典爆笑场面。几十年来，疲惫不堪的 74 岁蜥蜴里奥（桑德勒配音）和饲养箱伙伴乌龟（比尔·伯尔配音）被困在佛罗里达州的同一间教室里。在得知自己的生命只剩一年时间后，他打算逃出去体验外面的生活，却被卷入了焦虑学生们的各种问题之中——包括一个极其刻薄的代课老师。出逃计划最终成为了最奇怪但最有意义的遗愿清单······,7.5,2023-11-21(美国网络),https://movie.douban.com/subject/34997864/
196,暗杀风暴,影片改编自周浩晖豆瓣高分悬疑小说。以“审判者”自居的神秘杀手Darker公开挑衅警方，接连发出“死亡通知单”，收到之人都会被残忍处决。为查清真相，爆炸案目击者黄少平（古天乐 饰）、天才警察罗飞（张智霖 饰）、专案组组长韩灏（吴镇宇 饰）纷纷入局。Darker究竟是谁？真相不断反转，惊人的秘密逐渐浮出水面……,5.7,2023-08-18(中国大陆),https://movie.douban.com/subject/26746801/
197,巨齿鲨2：深渊 Meg 2: The Trench,乔纳斯·泰勒（杰森·斯坦森 饰）与科学家张九溟（吴京 饰）双雄联手，进入海底7000米深渊执行探索任务。他们意外遭遇史前巨兽海洋霸主巨齿鲨群的攻击，还将对战凶猛危险的远古怪兽群。惊心动魄的深渊冒险，巨燃巨爽的深海大战一触即发……,5.0,2023-08-04(美国/中国大陆),https://movie.douban.com/subject/34882958/
198,北斗七星 Le grand chariot,在巴黎经营传统木偶剧院的一家人始终坚守着自己的艺术立场，但父亲与祖母的相继过世，让年轻一代开始思考自己应何去何从。这部家庭小品的灵感源自法国电影大师菲利普·加瑞尔父亲的真人真事，导演的三个子女在片中同台贡献了精彩表演。影片叙事沉稳却不失温馨幽默，消解了死亡主题带来的压抑，三代人的情感羁绊也从微观上反映出法国社会文化底色的变迁。荣获2023年柏林国际电影节最佳导演银熊奖。,6.9,2023-02-21(柏林电影节),https://movie.douban.com/subject/35622280/
199,那个夏天：剧场版 그 여름,拥有褐色眼睛的普通学生伊京，酷似夏天阳光的高中足球选手秀伊。18岁的夏天，陷入意想不到的爱情的伊京和秀伊描绘着一起的未来，迎来了20岁。与上大学的伊京不同，秀伊直接进入社会，在陌生的幸福和小小的误会中，两人将面临新的季节。,7.6,2023-06-07(韩国),https://movie.douban.com/subject/36375221/
200,扫毒3：人在天涯 掃毒3：人在天涯,毒枭康素差（刘青云 饰）一直带着手下张建行（郭富城 饰）从事毒品交易，新加入的成员欧志远（古天乐 饰）也因一次意外与两人有了过命交情，三人情同手足。康素差在香港的贩毒生意被警方查处后带团队逃到金三角发展，却意外发现身边藏有卧底。此刻，是敌是友，一片茫然。,5.5,2023-07-06(中国大陆),https://movie.douban.com/subject/35013359/
201,蜘蛛网 거미집,讲述1970年代，想要重拍电影《蜘蛛网》结局的金导演（宋康昊 饰），遭到审查部门的干扰以及演员、制片人的反对，在如此混乱的情况下进行拍摄而发生的令人哭笑不得的故事。,6.2,2023-05-25(戛纳电影节),https://movie.douban.com/subject/35096685/
202,止痛骗 Pain Hustlers,失去工作后，辛苦抚养女儿的蓝领妇女在一家惨淡经营的制药初创公司找到了工作，却卷入了一项危险的诈骗计划。,6.6,2023-09-11(多伦多电影节),https://movie.douban.com/subject/35603707/
203,王者天下3 キングダム 運命の炎,原泰久のマンガを佐藤信介が実写化した映画「キングダム」シリーズの3作目となる本作。信と王騎が初めて同じ戦場に立つ「馬陽の戦い」や、秦の国王・嬴政の過去が明らかとなる「紫夏編」が描かれる。,6.0,2023-07-28(日本),https://movie.douban.com/subject/35235524/
